,text,favourite_count,retweet_count,created_at
69,"💜 ¡¡Feliz este y todos los días, mujeres soñadoras y luchadoras!! 😊 #8M #DíaDeLaMujer #Mujer #MujeresEmprendedoras #MujeresAbogadas #Igualdad #IgualdadDeGénero #Justicia #DerechosHumanos #ODS #ObjetivosDesarrolloSostenible #Abogacía #Consultoría #DerechoAnimal https://t.co/4yn38wOhSH",2,2,2022-03-08 16:17:10
70,RT @ISMrevistaMar: En el #DiaInternacionalDeLaMujer en el Instituto Social de la Marina aplaudimos la gran labor que realizan las asociacio…,0,5,2022-03-08 16:17:06
71,"RT @SaraHispania: En memoria de los 100.000 fallecidos por COVID19.
#Mujer #Mujeres
#DiaDeLaMujer #8M2022 #8Marzo2022 #8M #DiaNacionalDeLas…",0,8,2022-03-08 16:17:05
72,"RT @seregalandudas: El día de la #mujer💜 existe…

Para que se hagan cambios que reconozcan y garanticen nuestros derechos. 
#8M #DiaInterna…",0,142,2022-03-08 16:16:54
73,"👩🏼‍🦰👩🏼‍¡Hoy es el día Internacional de la MUJER! 👩🏼‍🦳👩🏾

En este día se lucha por la igualdad, la participación y el empoderamiento de la mujer en todos los ámbitos de la sociedad.

¡Feliz día a todas ellas! 🤩

#diadelamujer #mujer #8m #womensday #Educatina #aprendeonline https://t.co/x4Dv0KWqqh",0,0,2022-03-08 16:16:47
74,"RT @seregalandudas: El día de la #mujer💜 existe…

Para que se hagan cambios que reconozcan y garanticen nuestros derechos. 
#8M #DiaInterna…",0,142,2022-03-08 16:16:42
75,"RT @SaraHispania: En memoria de los 100.000 fallecidos por COVID19.
#Mujer #Mujeres
#DiaDeLaMujer #8M2022 #8Marzo2022 #8M #DiaNacionalDeLas…",0,8,2022-03-08 16:16:41
76,RT @psiflorodriguez: Ser #mujer o #LGTBI no puede ser un factor de riesgo 🙌 #8M2022 #8M #Diadelamujer #DiaInternacionalDeLaMujer #igualdad…,0,1,2022-03-08 16:16:32
77,"RT @seregalandudas: El día de la #mujer💜 existe…

Para que se hagan cambios que reconozcan y garanticen nuestros derechos. 
#8M #DiaInterna…",0,142,2022-03-08 16:16:21
78,"En memoria de los 100.000 fallecidos por COVID19.
#Mujer #Mujeres
#DiaDeLaMujer #8M2022 #8Marzo2022 #8M #DiaNacionalDeLasVictimasDeCoronavirus https://t.co/U863G9P62P",10,8,2022-03-08 16:16:09
79,"RT @CISS_org: Respetando las posturas que las autoras imprimieron a sus textos, hoy #8M, presentaremos ""Mujeres y covid-19. Relatos feminis…",0,1,2022-03-08 16:16:01
80,"RT @seregalandudas: El día de la #mujer💜 existe…

Para que se hagan cambios que reconozcan y garanticen nuestros derechos. 
#8M #DiaInterna…",0,142,2022-03-08 16:15:57
81,"RT @seregalandudas: El día de la #mujer💜 existe…

Para que se hagan cambios que reconozcan y garanticen nuestros derechos. 
#8M #DiaInterna…",0,142,2022-03-08 16:15:54
82,"RT @seregalandudas: El día de la #mujer💜 existe…

Para que se hagan cambios que reconozcan y garanticen nuestros derechos. 
#8M #DiaInterna…",0,142,2022-03-08 16:15:46
83,"RT @seregalandudas: El día de la #mujer💜 existe…

Para que se hagan cambios que reconozcan y garanticen nuestros derechos. 
#8M #DiaInterna…",0,142,2022-03-08 16:15:46
84,"RT @Selenehepe1: Si me matan, si es que me encuentran, llenenme de flores, cubranme de tierra.
Que yo seré  semilla para las que vienen, qu…",0,24,2022-03-08 16:15:44
85,"RT @EcoGobCan: 📸La consejera #EcoGobCan, @Elenamanez, participa en el acto institucional del Gobierno de #Canarias por el Día Internacional…",0,2,2022-03-08 16:15:43
86,"RT @OMC_Espana: .@manuelaG_Romero  Habrá futuro sostenible cuando consigamos la plena igualdad de oportunidades
#SinIgualdadNoHayFuturo 

#…",0,4,2022-03-08 16:15:37
87,"👩‍🦰👩👱‍♀️👩‍🦳 DÍA INTERNACIONAL DE LA #MUJER - BSE @bseuruguay @Buenviviruy  ❤️ @Canal4_UY 

👉La importancia de la mujer y sus roles. 

Ing. Silvana Olivera
Vice Presidenta de BSE
Míralo https://t.co/bXTSuZtT8N

.
#DíaDeLaMujer
#igualdaddegenero
#rolesdelamujer
#8M
#BSE
#buenvivir https://t.co/oEL3OMUvR1",0,0,2022-03-08 16:15:35
88,"RT @cvmelilla: Toda la #SuperligaVM con la #Mujer

Todo el #voleibol con el #8M

Vamos, juntos podemos!💪💜

#Igualdad #deportefemenino #NiUn…",0,3,2022-03-08 16:15:32
89,"RT @TecplataSA: Feliz Día Internacional de la #Mujer!

Este día no es un festejo, es un reconocimiento a ellas. A todo lo que representan,…",0,1,2022-03-08 16:15:22
90,"@VLADIMIR_CERRON A veces es mejor callarse o no escribir boludeces como ésta.
Por cierto, la mayoría de #peruanos le mandamos un especial saludo a su #madrecita, la tenemos presente todos los días.
Finalmente, #8M no sólo es este día. Debe respetarse y valorarse a la #mujer todo el año.",0,0,2022-03-08 16:15:17
91,"RT @VanesaDaf: No siempre fuimos visibles, pero gracias a muchas ""anónimas"", hoy podemos crear y creer, con nombre y apellido.

Día de la m…",0,12,2022-03-08 16:14:54
92,"RT @dibanezgut: #8M. 

Os presento una #mujer que con su SÍ marcó el rumbo de la historia. https://t.co/4Ucv11Gj3c",0,10,2022-03-08 16:14:45
93,"RT @seregalandudas: El día de la #mujer💜 existe…

Para que se hagan cambios que reconozcan y garanticen nuestros derechos. 
#8M #DiaInterna…",0,143,2022-03-08 16:14:38
94,"Conmemoramos el #diainternacionaldelamujer con esperanza de seguir abriendo espacios libres de violencia, con mayor equidad e igualdad. Saludamos a aquellas que con talento impulsan transformaciones y contribuyen al desarrollo de la sociedad

#GSP_CHILE #8m2022  #chile #mujer #8M https://t.co/3EAoe9ArKS",1,0,2022-03-08 16:14:19
95,Giuliana Furci: “Las #mujeres podemos hacer nuestro trabajo sin fallar como #mamás”. La primera #micóloga de #hongos no liquenizados en #Chile comparte su experiencia como #científica y #mujer en entrevista con #VCTElMercurio. #8M https://t.co/6S24j3XZCL https://t.co/6L9g2MN70T,1,0,2022-03-08 16:14:17
96,RT @CentralQNoticia: En el Día Internacional de la #Mujer se conmemora el camino que han atravesado las mujeres a lo largo de la historia e…,0,6,2022-03-08 16:14:00
97,"En Quirmex 🔹estamos comprometidos con promover la participación, igualdad y empoderamiento de las #mujer. 
Orgullosamente, más del 58% de nuestra fuerza de trabajo son mujeres. 🙌🙋‍♀️

#8M #DíaDeLaMujer https://t.co/7VBosZjYvf",1,0,2022-03-08 16:13:37
98,"RT @OtrasMiradasLAT: #8M

Ser #mujer #periodista en tiempos de #Bukele: violencia política y misoginia

por @AlfaroNeyda 

#AgendaMujeres
#…",0,2,2022-03-08 16:13:24
99,"RT @FrasesNorfiPC: Hoy 8 de marzo celebramos el Día Internacional de la Mujer. Día de homenaje, de reconocimiento y admiración a la #Mujer,…",0,35,2022-03-08 16:13:08
100,RT @CNE_Chile: En @CNE_Chile creemos que para avanzar en #equidaddegenero es necesario que quienes trabajan en la organización adquieran co…,0,2,2022-03-08 16:12:57
101,"RT @seregalandudas: El día de la #mujer💜 existe…

Para que se hagan cambios que reconozcan y garanticen nuestros derechos. 
#8M #DiaInterna…",0,143,2022-03-08 16:12:42
102,"#DíaInternacionaldelaMujer 

MANIFESTACIÓN #8demarzo  SIEMPRE: LAS MUJERES POR LA IGUALDAD #8març 

📅 HOY
🕖 19:00h
📍 Escaleras Jorge Juan - #Alicante
#8Marzo2022 #8M #mujer #igualdad #feminismo #DíadelaMUJER #Dona #8Març

https://t.co/X7DgdOn8Yl",0,0,2022-03-08 16:12:30
